ticker,CIK,revenue,net_income,ebit,cash,cash_date,assets,assets_date,liabilities,liabilities_date,long_term_debt,long_term_debt_date,operating_cash_flow,shares,shares_date,da
ALEC,1653087,100600000.0,-119049000.0,-144997000.0,76503000.0,2025-09-30,335285000.0,2025-09-30,277573000.0,2025-09-30,9611000.0,2025-09-30,-229905000.0,109151472.0,2025-10-31,5407000.0
ACB,1683541,,,,,,,,,,,,,56234231.0,2025-03-31,
ALDX,1341235,,-55851444.0,-60117032.0,59340599.0,2025-09-30,77801012.0,2025-09-30,28556469.0,2025-09-30,0.0,2025-09-30,-43208747.0,60162773.0,2025-10-28,
AARD,0001774857,1351000.0,-16316000.0,-17703000.0,39285000.0,2025-09-30,133229000.0,2025-09-30,10852000.0,2025-09-30,,,-37362000.0,21773272.0,2025-11-03,26000.0
ALTS,862861,12532000.0,-6245000.0,-7562000.0,7318000.0,2025-09-27,1640028000.0,2025-09-27,80090000.0,2025-09-27,1339000.0,2022-12-31,1777000.0,126199169.0,2026-01-12,3402000.0
ALLO,1737287,22000.0,-257590000.0,-273199000.0,37815000.0,2025-09-30,439771000.0,2025-09-30,124442000.0,2025-09-30,,,-200300000.0,224730144.0,2025-11-04,13639000.0
ACHV,949858,0.0,-39827000.0,8290000.0,31930000.0,2025-09-30,52040000.0,2025-09-30,18425000.0,2025-09-30,,,-29770000.0,53233988.0,2025-11-06,71000.0
AGEN,1098972,42877086.0,-120692492.0,-120475000.0,3458000.0,2025-09-30,233891000.0,2025-09-30,287132000.0,2025-09-30,23599000.0,2025-09-30,-158315000.0,34008349.0,2025-11-07,13343000.0
ABEO,318306,2998000.0,-63734000.0,-64211000.0,82884000.0,2025-09-30,231095000.0,2025-09-30,59862000.0,2025-09-30,10862000.0,2025-09-30,-56015000.0,54191361.0,2025-11-07,2004000.0
AISP,1842566,23050213.0,-57464890.0,-3505113.0,5755661.0,2025-09-30,8102970.0,2025-09-30,48184078.0,2025-09-30,0.0,2023-12-31,-6503968.0,34175563.0,2025-11-14,1861.0
AREC,1590715,383234.0,-39250992.0,-32231128.0,2081780.0,2025-09-30,202357184.0,2025-09-30,297419289.0,2025-09-30,965286.0,2025-09-30,-21243213.0,101393308.0,2025-11-14,32496.0
ARCT,1768224,152310000.0,-80941000.0,-95669000.0,180360000.0,2025-09-30,282343000.0,2025-09-30,57784000.0,2025-09-30,15000000.0,2025-03-31,-59747000.0,28412537.0,2025-11-05,3544000.0
AZ,0001866030,,,,,,,,,,,,,29590297.0,2024-12-31,
ASYS,720500,79364000.0,-30326000.0,-28488000.0,17904000.0,2025-09-30,92873000.0,2025-09-30,39488000.0,2025-09-30,4195000.0,2022-03-31,7877000.0,14356797.0,2025-12-03,2742000.0
ASLE,1754170,345066000.0,5851000.0,9744000.0,5267000.0,2025-09-30,646276000.0,2025-09-30,229195000.0,2025-09-30,125337000.0,2025-09-30,11184000.0,52990947.0,2034-03-05,16048000.0
ARBE,0001861841,768000.0,-49317000.0,-49653000.0,4008000.0,2025-09-30,66082000.0,2025-09-30,15212000.0,2025-09-30,676000.0,2020-12-31,-32502000.0,105163188.0,2025-03-01,
AUTL,1730463,10120000.0,-220662000.0,-241426000.0,86124000.0,2025-09-30,661947000.0,2025-09-30,396495000.0,2025-09-30,0.0,2019-12-31,-206271000.0,266143286.0,2025-11-11,7554000.0
AVTX,1534120,27813137.0,-35129000.0,-68512000.0,26963000.0,2025-09-30,125100000.0,2025-09-30,33553000.0,2025-09-30,14254856.0,2019-09-30,-49056000.0,18133968.0,2025-11-03,169000.0
BDTX,1701541,0.0,-69676000.0,-78781000.0,30864000.0,2025-09-30,157733000.0,2025-09-30,31581000.0,2025-09-30,,,-62303000.0,56974913.0,2025-10-30,
BLFY,1846017,85451000.0,-11911000.0,,44086000.0,2025-09-30,2155792000.0,2025-09-30,1841395000.0,2025-09-30,,,5063000.0,20761225.0,2025-11-07,3100000.0
CHRS,1512762,0.0,28507000.0,-199653000.0,103352000.0,2025-09-30,516519000.0,2025-09-30,428745000.0,2025-09-30,73663000.0,2019-12-31,-20440000.0,120871013.0,2025-10-31,1600000.0
CGTL,0001967822,35611761.0,4282368.0,5185532.0,443322.0,2024-09-30,16319951.0,2024-09-30,2859735.0,2024-09-30,,,-3524152.0,21437500.0,2024-09-30,
BYRN,1354866,16566295.0,12792000.0,6671000.0,6495000.0,2025-08-31,78562000.0,2025-08-31,15419000.0,2025-08-31,217171.0,2020-08-31,11739000.0,22725515.0,2025-10-09,1491000.0
CGEN,1119774,27864000.0,-14231000.0,-14891000.0,6467000.0,2025-06-30,106525000.0,2025-06-30,20583000.0,2025-06-30,,,49604000.0,89541246.0,2024-12-31,
CABA,1759138,,-115864000.0,-125141000.0,60206000.0,2025-09-30,189759000.0,2025-09-30,50293000.0,2025-09-30,,,-88222000.0,96265204.0,2025-10-31,
CEPT,0002034269,,2407169.0,-154406.0,25000.0,2025-09-30,244407081.0,2025-09-30,166331.0,2025-09-30,,,-13659.0,6000000.0,2025-03-31,
CADL,1841387,125000.0,-55177000.0,-33371000.0,86963000.0,2025-09-30,93598000.0,2025-09-30,13474000.0,2025-09-30,1733000.0,2024-12-31,-27023000.0,54898303.0,2025-11-05,778000.0
CCRN,1141103,816484000.0,-14556062.0,-16865000.0,99132000.0,2025-09-30,538231000.0,2025-09-30,130089000.0,2025-09-30,150675000.0,2022-12-31,120116000.0,32759952.0,2025-10-31,18200000.0
CMTL,23197,499528000.0,-155302000.0,-139098000.0,43635000.0,2025-10-31,734120000.0,2025-10-31,455078000.0,2025-10-31,116643000.0,2025-10-31,-8292000.0,29629375.0,2025-12-05,14253000.0
CURI,1776909,78043000.0,-12941000.0,-13333000.0,14108000.0,2025-09-30,74705000.0,2025-09-30,27511000.0,2025-09-30,,,8151000.0,58298507.0,2025-11-07,
CMRC,1626450,332927000.0,-27030000.0,-41684000.0,49912000.0,2025-09-30,309465000.0,2025-09-30,266630000.0,2025-09-30,340468000.0,2024-06-30,26254000.0,81263346.0,2025-11-04,4000000.0
CRBP,1595097,4822272.0,-40209000.0,-48721000.0,26983000.0,2025-09-30,109514000.0,2025-09-30,17367000.0,2025-09-30,0.0,2024-03-31,-41794000.0,17553037.0,2025-11-07,588000.0
CVRX,1235912,51292000.0,-59965000.0,-59490000.0,85124000.0,2025-09-30,111325000.0,2025-09-30,63271000.0,2025-09-30,49453000.0,2025-09-30,-39144000.0,26210109.0,2025-10-30,
CLYM,1768446,,-73897000.0,-82020000.0,25803000.0,2025-09-30,182304000.0,2025-09-30,5301000.0,2025-09-30,,,-15562000.0,68184435.0,2025-10-31,67000.0
EDIT,1650664,31937000.0,-237093000.0,-251152000.0,165648000.0,2025-09-30,201751000.0,2025-09-30,188298000.0,2025-09-30,54069000.0,2025-09-30,-210284000.0,97618660.0,2025-10-31,
EMPD,1829794,4037191.0,-45510309.0,-27014027.0,18819529.0,2025-09-30,492261234.0,2025-09-30,54620472.0,2025-09-30,37235.0,2025-09-30,-16037552.0,36423863.0,2025-11-10,272739.0
DOMO,1505952,317044000.0,-81935000.0,-59282000.0,47180000.0,2025-04-30,201605000.0,2025-10-31,393537000.0,2025-10-31,124188000.0,2025-10-31,-9052000.0,41448000.0,2025-10-31,9236000.0
DGXX,0001854368,,,,,,,,,,,,,33011600.0,2024-12-31,
DIBS,1600641,88257000.0,-18633000.0,-26215000.0,19938000.0,2025-09-30,135201000.0,2025-09-30,41203000.0,2025-09-30,,,-2910000.0,36614348.0,2025-10-31,1986000.0
DFDV,0001805526,2099660.0,-2726784.0,-3003484.0,1800000.0,2025-03-31,479954000.0,2025-09-30,236150000.0,2025-09-30,131444000.0,2025-09-30,-2418284.0,31401212.0,2025-11-19,173268.0
DPRO,1786286,,,,,,,,,,,,,5427795.0,2024-12-31,
DOGZ,1707303,101455.0,-5101237.0,-6794648.0,12831485.0,2025-06-30,116846586.0,2025-06-30,19093761.0,2025-06-30,3855168.0,2023-12-31,567088.0,15000000.0,2018-06-30,2782328.0
DCTH,872912,7766000.0,-26386000.0,-12410000.0,41813000.0,2025-09-30,124295000.0,2025-09-30,9448000.0,2025-09-30,0.0,2024-12-31,-18681000.0,35313718.0,2025-10-27,
DENN,852772,462593000.0,21571000.0,45316000.0,3372000.0,2019-12-25,502918000.0,2025-09-24,535612000.0,2025-09-24,259500000.0,2025-09-24,29487000.0,51498994.0,2025-10-28,14857000.0
FFAI,1805521,539000.0,-355847000.0,-149738000.0,62909000.0,2025-09-30,315584000.0,2025-09-30,355124000.0,2025-09-30,,,-70186000.0,29516511.0,2021-08-13,71442000.0
EWCZ,1856236,,10462000.0,14281000.0,,,734117000.0,2024-01-06,734117000.0,2024-01-06,390000000.0,2025-01-04,56506000.0,,,20279000.0
FGNX,1591890,32023000.0,1088000.0,-24876000.0,7495000.0,2025-09-30,244737000.0,2025-09-30,13716000.0,2025-09-30,203000.0,2025-06-30,-4714000.0,39574350.0,2025-11-12,829000.0
ENTA,1177648,102814000.0,-81889000.0,-85349000.0,32298000.0,2025-09-30,280732000.0,2025-09-30,216015000.0,2025-09-30,,,-19272000.0,28862601.0,2025-11-04,4586000.0
FCEL,886128,89437000.0,-187899000.0,-192348000.0,278099000.0,2025-10-31,932146000.0,2025-10-31,201005000.0,2025-10-31,66101000.0,2017-07-31,-125291000.0,47736734.0,2025-12-15,40400000.0
EOLS,1570562,266274000.0,-50420000.0,-34411000.0,43523000.0,2025-09-30,218997000.0,2025-09-30,247757000.0,2025-09-30,145780000.0,2025-09-30,-17999000.0,64819784.0,2025-10-31,5297000.0
ETHZ,1690080,4110169.0,-6168177.0,-6324729.0,53309509.0,2025-09-30,1009312988.0,2025-09-30,564175623.0,2025-09-30,,,-1480567.0,21398839.0,2025-11-12,58277.0
FLWS,1084869,1151921000.0,-199993000.0,-204813000.0,7747000.0,2025-09-28,840501000.0,2025-09-28,622993000.0,2025-09-28,128940000.0,2025-09-28,-26363000.0,63630000.0,2025-09-28,53618000.0
GIG,0002023730,0.0,-212080.0,-1270192.0,405404.0,2025-09-30,210231449.0,2025-09-30,2869855.0,2025-09-30,,,-938824.0,20000000.0,2024-11-04,
FNKO,1704711,516084000.0,-14718000.0,12991000.0,39177000.0,2025-09-30,699271000.0,2025-09-30,457409000.0,2025-09-30,1388000.0,2025-09-30,123524000.0,54648816.0,2025-09-30,62583000.0
HRZN,0001487428,,-5633000.0,,130907000.0,2025-09-30,759212000.0,2025-09-30,443511000.0,2025-09-30,424031000.0,2025-09-30,3937000.0,44383292.0,2025-10-28,
GUTS,0001572616,93000.0,-68694000.0,-93531000.0,77657000.0,2025-09-30,114272000.0,2025-09-30,117450000.0,2025-09-30,,,-65521000.0,137044440.0,2025-10-31,
GSIT,1126741,42643000.0,-10639000.0,-10835000.0,25326000.0,2025-09-30,51989000.0,2025-09-30,13437000.0,2025-09-30,,,-12975000.0,35241703.0,2025-10-31,665000.0
HNST,1530979,378340000.0,-6124000.0,-6331000.0,71453000.0,2025-09-30,241539000.0,2025-09-30,51354000.0,2025-09-30,,,1541000.0,111790674.0,2025-11-03,2843000.0
HRTX,818033,30767000.0,-13580000.0,-11528000.0,43068000.0,2025-09-30,248950000.0,2025-09-30,234065000.0,2025-09-30,,,-22529000.0,183362522.0,2025-10-30,2492000.0
HUMA,1818382,753000.0,-148701000.0,-114398000.0,19488000.0,2025-09-30,91509000.0,2025-09-30,96260000.0,2025-09-30,30000000.0,2022-06-30,-98122000.0,187271321.0,2025-11-04,
HELP,0001833141,,,,,,,,,,,,,21601208.0,2025-03-31,
HCAT,1636422,306584000.0,-69502000.0,-69806000.0,40305000.0,2025-09-30,587128000.0,2025-09-30,255205000.0,2025-09-30,151512000.0,2025-09-30,14559000.0,70730884.0,2025-10-23,41431000.0
INV,0002001557,1117000.0,-30845000.0,-23678000.0,9061000.0,2025-09-30,556515000.0,2025-09-30,149936000.0,2025-09-30,29514000.0,2025-09-30,-19476000.0,62471971.0,2025-11-12,8000.0
IMRX,1790340,0.0,-61036608.0,-64071401.0,227563077.0,2025-09-30,241056266.0,2025-09-30,13079834.0,2025-09-30,,,-54999571.0,25938064.0,2021-09-03,355807.0
INSG,1022652,313832000.0,4572000.0,1715000.0,14559000.0,2025-09-30,85813000.0,2025-09-30,93531000.0,2025-09-30,152625000.0,2019-12-31,33519000.0,15327475.0,2025-10-30,12529000.0
INVZ,1835654,24268000.0,-94757000.0,-101918000.0,7886000.0,2025-09-30,151063000.0,2025-09-30,32100000.0,2025-09-30,0.0,2021-12-31,-76955000.0,169397030.0,2024-12-31,7786000.0
IMMX,0001873835,20000000.0,-21613376.0,-22674680.0,15947308.0,2025-09-30,20080604.0,2025-09-30,11815634.0,2025-09-30,,,-14595102.0,33577873.0,2025-11-05,
LAND,1495240,85216000.0,13290000.0,11376000.0,11312000.0,2025-09-30,1225778000.0,2025-09-30,563984000.0,2025-09-30,480356000.0,2025-09-30,29548000.0,37266833.0,2025-11-04,35055000.0
KPTI,1503802,154000.0,-76422000.0,-119443000.0,37672000.0,2025-09-30,96232000.0,2025-09-30,365490000.0,2025-09-30,169293000.0,2021-12-31,-127486000.0,17050876000.0,2025-10-30,974000.0
LAKE,798081,167211000.0,-18075000.0,-9265000.0,25222000.0,2024-01-31,220717000.0,2025-10-31,86233000.0,2025-10-31,0.0,2020-04-30,-15881000.0,9570618.0,2025-08-29,2600000.0
KLRS,1754068,165000.0,-58769000.0,-65441000.0,42387000.0,2025-09-30,81175000.0,2025-09-30,39310000.0,2025-09-30,,,-67705000.0,18702418.0,2025-11-05,398000.0
KINS,33992,155142103.0,18358436.0,,8976998.0,2023-12-31,428590242.0,2025-09-30,320937200.0,2025-09-30,3474590.0,2025-09-30,57947771.0,14147428.0,2025-11-06,2448932.0
KELYA,55135,5355600000.0,-600000.0,-15100000.0,30100000.0,2025-09-28,2393100000.0,2025-09-28,806500000.0,2025-09-28,118400000.0,2025-09-28,26900000.0,35300000.0,2025-09-28,40200000.0
LFMD,948320,12468578.0,-21409016.0,-18276324.0,36228305.0,2025-06-30,65983378.0,2025-09-30,62615226.0,2025-09-30,10819527.0,2021-09-30,17513190.0,48135885.0,2025-11-14,41891.0
LOCO,1606366,401701000.0,25684000.0,41168000.0,10872000.0,2025-09-24,602748000.0,2025-09-24,319816000.0,2025-09-24,61000000.0,2025-09-24,46781000.0,29954935.0,2025-10-24,15717000.0
MERC,1333274,1169145000.0,-85141000.0,15007000.0,98102000.0,2025-09-30,2290563000.0,2025-09-30,1931031000.0,2025-09-30,1546993000.0,2025-09-30,90204000.0,66982506.0,2025-11-04,170793000.0
MIST,1408443,,-41519000.0,-42102000.0,46685000.0,2025-09-30,87750000.0,2025-09-30,67249000.0,2025-09-30,56206000.0,2025-09-30,-28848000.0,85169344.0,2025-11-12,105000.0
LTRX,1114925,122923000.0,-11373000.0,-11001000.0,22191000.0,2025-09-30,119568000.0,2025-09-30,45118000.0,2025-09-30,10662000.0,2025-09-30,7285000.0,39358610.0,2025-11-01,2084000.0
LPCN,1535955,11198144.0,8352.0,-1155035.0,3901040.0,2025-09-30,16073167.0,2025-09-30,1931119.0,2025-09-30,1442437.0,2021-03-31,-1221233.0,5551931.0,2025-11-05,41106.0
NFE,1749723,2364860000.0,547882000.0,538639000.0,145237000.0,2025-09-30,11905607000.0,2025-09-30,10781523000.0,2025-09-30,2335994000.0,2025-09-30,586742000.0,284552811.0,2025-11-14,162525000.0
NEXN,0001849396,,,,,,,,,,,,,65562670.0,2024-12-31,
MTRX,866273,769286000.0,-29462000.0,-35068000.0,192307000.0,2025-09-30,598186000.0,2025-09-30,461920000.0,2025-09-30,8888000.0,2020-03-31,117471000.0,28124527.0,2025-11-05,10012000.0
ORBS,0001892492,31820779.0,708539.0,-8192559.0,23712463.0,2025-09-30,355527757.0,2025-09-30,16773941.0,2025-09-30,,,-6637101.0,197831615.0,2025-11-14,174443.0
OPRT,1538716,1001775000.0,-78682000.0,,104611000.0,2025-09-30,3186179000.0,2025-09-30,2802325000.0,2025-09-30,241838000.0,2022-09-30,393522000.0,44129020.0,2025-10-29,
NVA,0001852551,,,,,,,,,,,,,401501417.0,2025-09-19,
NRXP,1719406,0.0,-25126000.0,-18502000.0,7184000.0,2025-09-30,14996000.0,2025-09-30,40751000.0,2025-09-30,2822000.0,2022-12-31,-10637000.0,28097627.0,2025-11-13,26000.0
OSS,1394056,37027382.0,-13634333.0,-13356813.0,6508020.0,2025-09-30,43057960.0,2025-09-30,16718212.0,2025-09-30,207452.0,2023-03-31,-108098.0,24515491.0,2025-10-31,1041837.0
NNOX,1795251,11283000.0,-53516000.0,-56746000.0,39304000.0,2024-12-31,210002000.0,2024-12-31,20883000.0,2024-12-31,3481000.0,2022-12-31,-36598000.0,63762001.0,2024-12-31,208000.0
NUAI,0002028336,159411.0,-13782384.0,-12732730.0,14164499.0,2025-09-30,23427891.0,2025-09-30,10486922.0,2025-09-30,6680635.0,2025-03-31,-5349948.0,53449171.0,2025-11-13,666523.0
NMRA,0001885522,,-243787000.0,-263464000.0,129071000.0,2025-09-30,177833000.0,2025-09-30,45672000.0,2025-09-30,19563000.0,2025-09-30,-182936000.0,167089114.0,2025-11-01,631000.0
PELI,0002037431,,514636.0,-375265.0,220.0,2025-10-31,88054474.0,2025-10-31,311250.0,2025-10-31,,,-827919.0,11998750.0,2025-12-19,
PROP,1162896,7939000.0,-40912000.0,-26513000.0,10640000.0,2025-09-30,939788000.0,2025-09-30,679264000.0,2025-09-30,387000000.0,2025-06-30,-9348000.0,59646610.0,2025-11-11,427000.0
PAL,0001998768,91505501.0,-8475268.0,-2185505.0,16848215.0,2024-09-30,498234562.0,2024-09-30,159759893.0,2024-09-30,45288020.0,2024-09-30,-382135.0,27830037.0,2025-11-10,5388.0
OXSQ,0001259429,,5879681.0,,50788037.0,2025-09-30,314739807.0,2025-09-30,155784661.0,2025-09-30,127471191.0,2023-12-31,25708741.0,81669408.0,2025-11-05,
PESI,891532,60030000.0,-19979000.0,-15682000.0,1988000.0,2023-09-30,91155000.0,2025-09-30,35793000.0,2025-09-30,1352000.0,2025-09-30,-14743000.0,18517662.0,2025-11-03,1763000.0
