ticker,record_date,assets,liabilities,cash,shares,long_term_debt,revenue,net_income,ebit,operating_cash_flow,assets_yoy,net_income_yoy,operating_cash_flow_yoy
AUTL,2025-11-11,661947000.0,396495000.0,86124000.0,266143286.0,,30891000.0,-442312000.0,-457373000.0,-646427000.0,-0.20005438132182865,0.03625112675713207,-0.28459578108199624
PEPG,2025-11-05,190057000.0,26917000.0,142775000.0,68748224.0,,,,-171746000.0,-217623000.0,0.11644559841159816,,-0.04599583445951317
TOI,2025-11-06,163619000.0,175893000.0,200000.0,98381340.0,,,-101711000.0,-69563000.0,-43998000.0,-0.08686091872554874,-0.04136731452771686,0.0945189428459836
RCKT,2025-10-31,368033000.0,54364000.0,75948000.0,108222228.0,,,-430089000.0,-446717000.0,-525442000.0,-0.06516581658572271,0.2456121944273745,0.04673735425292723
ILPT,2025-10-24,5218846000.0,4305216000.0,83173000.0,66659235.0,4196825000.0,,-336484000.0,157028000.0,95608000.0,-0.04325761786666002,0.11406587098028685,2.4029560482302608
PUBM,2025-09-30,676188000.0,431128000.0,136548000.0,,,,58971000.0,-57027000.0,182472000.0,-0.018800134659809852,0.4079495552302669,0.13585062390523142
AKBA,2025-11-04,364152000.0,322560000.0,166444000.0,265365993.0,47641000.0,0.0,-101794000.0,78193000.0,-8625000.0,0.7579824468239179,-0.383049209745324,2.0185118669355955
DBI,2025-11-01,2052989000.0,1750105000.0,51352000.0,,463089000.0,5097926000.0,,150551000.0,130554000.0,-0.013348462391698434,,4.570322155392601
PNNT,2025-11-24,1349554000.0,885604000.0,51783000.0,65296094.0,,,,,497189000.0,-0.028459001098564092,,1.6077635211953873
CODI,2025-12-15,3274590000.0,2863860000.0,73757000.0,75235966.0,1857036000.0,1841668000.0,620808000.0,-66155000.0,-312578000.0,0.012783077384150172,-0.9245358024282377,0.2553446922473103
CCIX,2025-09-30,305010602.0,10143727.0,0.0,,,,,-9414717.0,-6732820.0,0.031021008580882817,,-1.7330027712115155
PERI,2024-12-31,915526000.0,192586000.0,156228000.0,44825053.0,24917000.0,2308216000.0,,272382000.0,383016000.0,-0.15013933420343722,,-0.9553655853804442
ENTA,2025-11-04,280732000.0,216015000.0,32298000.0,28862601.0,,240243000.0,197921000.0,-195732000.0,-79145000.0,-0.2546647834074955,1.293745281375225,0.7553196891981108
AMCX,2025-09-30,4209394000.0,3065749000.0,716838000.0,,1918713000.0,,340023000.0,432837000.0,952440000.0,-0.12766068119821553,0.8493306268425885,-0.19238316005631373
AVXL,2025-11-24,103815000.0,8946000.0,102577000.0,89348107.0,265.0,,,-118944000.0,-99580000.0,-0.2342162915753834,,-0.2671686355965208
AIRO,2025-11-14,774576211.0,35029065.0,,31303834.0,5134124.0,109807333.0,,-89189279.0,-77557571.0,0.10496084353424139,,-13.886529584044121
EGY,2025-11-04,950433000.0,444560000.0,23984000.0,104258253.0,60000000.0,633352000.0,42195000.0,105732000.0,264967000.0,0.013359590490701064,-0.897833102812356,-0.024441714244417143
DDD,2025-10-29,554549000.0,331257000.0,95542000.0,128738014.0,,,203230000.0,-162196000.0,-211434000.0,-0.15757372287611884,0.8990267912075619,-0.9707079145220836
FCEL,2025-12-15,932146000.0,201005000.0,278099000.0,47736734.0,87839000.0,131541000.0,-482835000.0,-487547000.0,-349023000.0,-0.012686892823400317,-0.4789914015277574,0.18060115364995488
